# Units: time in UTC, local_time in Asia/Kolkata, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
,,,,,
global_time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
1/1/2019 0:00,1/1/2019 5:30,0,0,0,7.426
1/1/2019 1:00,1/1/2019 6:30,0.071,0.041,0.051,8.582
1/1/2019 2:00,1/1/2019 7:30,0.277,0.192,0.123,11.698
1/1/2019 3:00,1/1/2019 8:30,0.519,0.472,0.136,14.405
1/1/2019 4:00,1/1/2019 9:30,0.639,0.642,0.142,18.431
1/1/2019 5:00,1/1/2019 10:30,0.694,0.731,0.149,21.681
1/1/2019 6:00,1/1/2019 11:30,0.654,0.654,0.172,22.729
1/1/2019 7:00,1/1/2019 12:30,0.607,0.588,0.171,23.167
1/1/2019 8:00,1/1/2019 13:30,0.5,0.449,0.162,23.154
1/1/2019 9:00,1/1/2019 14:30,0.348,0.279,0.137,22.58
1/1/2019 10:00,1/1/2019 15:30,0.135,0.084,0.084,20.863
1/1/2019 11:00,1/1/2019 16:30,0.003,0.003,0.008,18.695
1/1/2019 12:00,1/1/2019 17:30,0,0,0,17.329
1/1/2019 13:00,1/1/2019 18:30,0,0,0,16.092
1/1/2019 14:00,1/1/2019 19:30,0,0,0,14.75
1/1/2019 15:00,1/1/2019 20:30,0,0,0,13.377
1/1/2019 16:00,1/1/2019 21:30,0,0,0,12.14
1/1/2019 17:00,1/1/2019 22:30,0,0,0,11.157
1/1/2019 18:00,1/1/2019 23:30,0,0,0,10.398
1/1/2019 19:00,1/2/2019 0:30,0,0,0,9.801
1/1/2019 20:00,1/2/2019 1:30,0,0,0,9.303
1/1/2019 21:00,1/2/2019 2:30,0,0,0,8.848
1/1/2019 22:00,1/2/2019 3:30,0,0,0,8.408
1/1/2019 23:00,1/2/2019 4:30,0,0,0,7.987
1/2/2019 0:00,1/2/2019 5:30,0,0,0,7.598
1/2/2019 1:00,1/2/2019 6:30,0.071,0.04,0.051,8.753
1/2/2019 2:00,1/2/2019 7:30,0.276,0.189,0.126,12.125
1/2/2019 3:00,1/2/2019 8:30,0.469,0.389,0.156,14.558
1/2/2019 4:00,1/2/2019 9:30,0.594,0.553,0.168,18.158
1/2/2019 5:00,1/2/2019 10:30,0.653,0.647,0.172,21.657
1/2/2019 6:00,1/2/2019 11:30,0.674,0.692,0.165,22.97
1/2/2019 7:00,1/2/2019 12:30,0.626,0.625,0.162,23.466
1/2/2019 8:00,1/2/2019 13:30,0.518,0.48,0.157,23.441
1/2/2019 9:00,1/2/2019 14:30,0.321,0.238,0.146,22.679
1/2/2019 10:00,1/2/2019 15:30,0.119,0.065,0.084,20.52
1/2/2019 11:00,1/2/2019 16:30,0.002,0.003,0.007,18.288
1/2/2019 12:00,1/2/2019 17:30,0,0,0,17.223
1/2/2019 13:00,1/2/2019 18:30,0,0,0,16.596
1/2/2019 14:00,1/2/2019 19:30,0,0,0,15.845
1/2/2019 15:00,1/2/2019 20:30,0,0,0,14.84
1/2/2019 16:00,1/2/2019 21:30,0,0,0,13.69
1/2/2019 17:00,1/2/2019 22:30,0,0,0,12.598
1/2/2019 18:00,1/2/2019 23:30,0,0,0,11.561
1/2/2019 19:00,1/3/2019 0:30,0,0,0,10.596
1/2/2019 20:00,1/3/2019 1:30,0,0,0,9.824
1/2/2019 21:00,1/3/2019 2:30,0,0,0,9.182
1/2/2019 22:00,1/3/2019 3:30,0,0,0,8.65
1/2/2019 23:00,1/3/2019 4:30,0,0,0,8.208
1/3/2019 0:00,1/3/2019 5:30,0,0,0,7.811
1/3/2019 1:00,1/3/2019 6:30,0.065,0.034,0.051,8.927
1/3/2019 2:00,1/3/2019 7:30,0.258,0.163,0.133,12.615
1/3/2019 3:00,1/3/2019 8:30,0.384,0.255,0.188,14.764
1/3/2019 4:00,1/3/2019 9:30,0.514,0.399,0.213,17.534
1/3/2019 5:00,1/3/2019 10:30,0.581,0.497,0.218,21.146
1/3/2019 6:00,1/3/2019 11:30,0.617,0.568,0.205,22.971
1/3/2019 7:00,1/3/2019 12:30,0.567,0.504,0.2,23.578
1/3/2019 8:00,1/3/2019 13:30,0.456,0.366,0.189,23.486
1/3/2019 9:00,1/3/2019 14:30,0.292,0.192,0.157,22.674
1/3/2019 10:00,1/3/2019 15:30,0.107,0.052,0.084,19.958
1/3/2019 11:00,1/3/2019 16:30,0.002,0.002,0.007,17.842
1/3/2019 12:00,1/3/2019 17:30,0,0,0,16.977
1/3/2019 13:00,1/3/2019 18:30,0,0,0,16.085
1/3/2019 14:00,1/3/2019 19:30,0,0,0,14.758
1/3/2019 15:00,1/3/2019 20:30,0,0,0,13.256
1/3/2019 16:00,1/3/2019 21:30,0,0,0,11.952
1/3/2019 17:00,1/3/2019 22:30,0,0,0,10.902
1/3/2019 18:00,1/3/2019 23:30,0,0,0,10.148
1/3/2019 19:00,1/4/2019 0:30,0,0,0,9.538
1/3/2019 20:00,1/4/2019 1:30,0,0,0,8.938
1/3/2019 21:00,1/4/2019 2:30,0,0,0,8.451
1/3/2019 22:00,1/4/2019 3:30,0,0,0,8.101
1/3/2019 23:00,1/4/2019 4:30,0,0,0,7.807
1/4/2019 0:00,1/4/2019 5:30,0,0,0,7.576
1/4/2019 1:00,1/4/2019 6:30,0.057,0.027,0.049,8.771
1/4/2019 2:00,1/4/2019 7:30,0.235,0.135,0.135,12.428
1/4/2019 3:00,1/4/2019 8:30,0.419,0.305,0.18,14.784
1/4/2019 4:00,1/4/2019 9:30,0.546,0.457,0.198,18.185
1/4/2019 5:00,1/4/2019 10:30,0.61,0.553,0.203,21.642
1/4/2019 6:00,1/4/2019 11:30,0.63,0.595,0.197,22.934
1/4/2019 7:00,1/4/2019 12:30,0.579,0.527,0.194,23.588
1/4/2019 8:00,1/4/2019 13:30,0.466,0.381,0.187,23.666
1/4/2019 9:00,1/4/2019 14:30,0.27,0.163,0.161,23.004
1/4/2019 10:00,1/4/2019 15:30,0.095,0.041,0.083,21.077
1/4/2019 11:00,1/4/2019 16:30,0.001,0.002,0.007,19.233
1/4/2019 12:00,1/4/2019 17:30,0,0,0,18.048
1/4/2019 13:00,1/4/2019 18:30,0,0,0,17.168
1/4/2019 14:00,1/4/2019 19:30,0,0,0,15.967
1/4/2019 15:00,1/4/2019 20:30,0,0,0,14.631
1/4/2019 16:00,1/4/2019 21:30,0,0,0,13.596
1/4/2019 17:00,1/4/2019 22:30,0,0,0,12.579
1/4/2019 18:00,1/4/2019 23:30,0,0,0,11.71
1/4/2019 19:00,1/5/2019 0:30,0,0,0,11.009
1/4/2019 20:00,1/5/2019 1:30,0,0,0,10.372
1/4/2019 21:00,1/5/2019 2:30,0,0,0,9.692
1/4/2019 22:00,1/5/2019 3:30,0,0,0,9.04
1/4/2019 23:00,1/5/2019 4:30,0,0,0,8.526
1/5/2019 0:00,1/5/2019 5:30,0,0,0,8.188
1/5/2019 1:00,1/5/2019 6:30,0.063,0.033,0.05,9.317
1/5/2019 2:00,1/5/2019 7:30,0.257,0.165,0.13,12.668
1/5/2019 3:00,1/5/2019 8:30,0.481,0.409,0.153,15.167
1/5/2019 4:00,1/5/2019 9:30,0.61,0.585,0.16,19.022
1/5/2019 5:00,1/5/2019 10:30,0.674,0.688,0.162,21.674
1/5/2019 6:00,1/5/2019 11:30,0.687,0.715,0.161,22.841
1/5/2019 7:00,1/5/2019 12:30,0.604,0.579,0.177,23.434
1/5/2019 8:00,1/5/2019 13:30,0.439,0.345,0.188,23.33
1/5/2019 9:00,1/5/2019 14:30,0.337,0.26,0.144,22.802
1/5/2019 10:00,1/5/2019 15:30,0.144,0.092,0.086,20.808
1/5/2019 11:00,1/5/2019 16:30,0.004,0.004,0.008,18.856
1/5/2019 12:00,1/5/2019 17:30,0,0,0,18.25
